"id","datasheet","datasheet_local","desc","exclude_from_board","exclude_from_bom","footprint","height","keywords","manufacturer_name","manufacturer_pn","package","sub_requirements","symbol","type","value","vendor_name","vendor_pn","current","power","qualification","voltage"
"BAT54AW-QX","https://assets.nexperia.com/documents/data-sheet/BAT54AW-Q.pdf","BAT54AW-Q.pdf","Schottky Diode – Dual, Common Anode",0,0,"DM-Footprint:SOT-323_SC-70","1.10mm","D diode","Nexperia","BAT54AW-QX","SOT-323, SC-70-3","No sub","DM-Symbol:D_Schottky_Dual_K1K2A_Parallel","SMD","BAT54AW-QX","Mouser","771-BAT54AW-QX","200mA max","200mW max","AEC-Q101","400mV @ 10mA, 30Vrmax"
"NSVR0240V2T1G","https://www.onsemi.com/pdf/datasheet/nsr0240v2t1-d.pdf","NSR0240V2T1-D.PDF","Schottky Diode",0,0,"DM-Footprint:D_SOD-523","0.60mm","D diode","onsemi","NSVR0240V2T1G","SOD-523","No sub","DM-Symbol:D_Schottky_Small","SMD","NSVR0240V2T1G","Mouser","863-NSVR0240V2T1G","250mA max","200mW max","AEC-Q101","390mV @ 10mA, 40Vrmax"
